Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
20,Sat,2/1/2020,15:30 (17:30),Hoffenheim,2.8,2 1,2.4,Leverkusen,"24,489",PreZero Arena,Deniz Aytekin,Match Report,
20,Sat,2/1/2020,15:30 (17:30),Augsburg,1.4,2 1,0.5,Werder Bremen,"29,432",WWK Arena,Marco Fritz,Match Report,
20,Sat,2/1/2020,15:30 (17:30),DÃ¼sseldorf,0.3,1 1,1,Eint Frankfurt,"45,018",Merkur Spielarena,Frank Willenborg,Match Report,
20,Sat,2/1/2020,15:30 (17:30),Mainz 05,0.4,1 3,1.7,Bayern Munich,"33,305",Opel Arena,Bastian Dankert,Match Report,
20,Sat,2/1/2020,15:30 (17:30),Dortmund,3.5,5 0,0.3,Union Berlin,"81,365",Signal Iduna Park,Benjamin Cortus,Match Report,
20,Sat,2/1/2020,18:30 (20:30),RB Leipzig,1.5,2 2,1.1,M'gladbach,"42,146",Red Bull Arena,Tobias Stieler,Match Report,
20,Sun,2/2/2020,15:30 (17:30),KÃ¶ln,3.7,4 0,0.9,Freiburg,"50,000",RheinEnergieSTADION,Robert Kampka,Match Report,
20,Sun,2/2/2020,18:00 (20:00),Paderborn 07,1,2 4,1.5,Wolfsburg,"13,926",Benteler-Arena,Patrick Ittrich,Match Report,

21,Fri,2/7/2020,20:30 (22:30),Eint Frankfurt,2.4,5 0,0.7,Augsburg,"48,800",Commerzbank-Arena,Manuel GrÃ¤fe,Match Report,
21,Sat,2/8/2020,15:30 (17:30),Werder Bremen,1.3,0 2,1.5,Union Berlin,"42,100",Weserstadion,Daniel Schlager,Match Report,
21,Sat,2/8/2020,15:30 (17:30),Schalke 04,1.3,1 1,0.8,Paderborn 07,"61,614",Veltins-Arena,Felix Brych,Match Report,
21,Sat,2/8/2020,15:30 (17:30),Hertha BSC,0.8,1 3,2.3,Mainz 05,"35,049",Olympiastadion Berlin,Martin Petersen,Match Report,
21,Sat,2/8/2020,15:30 (17:30),Freiburg,1.7,1 0,1.5,Hoffenheim,"24,000",Schwarzwald-Stadion,Sven Jablonski,Match Report,
21,Sat,2/8/2020,15:30 (17:30),Wolfsburg,1,1 1,0.9,DÃ¼sseldorf,"23,445",Volkswagen Arena,Tobias Stieler,Match Report,
21,Sat,2/8/2020,18:30 (20:30),Leverkusen,1.5,4 3,0.8,Dortmund,"30,210",BayArena,Markus Schmidt,Match Report,
21,Sun,2/9/2020,18:00 (20:00),Bayern Munich,1.6,0 0,1.2,RB Leipzig,"75,000",Allianz Arena,Marco Fritz,Match Report,

22,Fri,2/14/2020,20:30 (22:30),Dortmund,1.3,4 0,0,Eint Frankfurt,"81,365",Signal Iduna Park,Bastian Dankert,Match Report,
22,Sat,2/15/2020,15:30 (17:30),Union Berlin,1.5,2 3,1.2,Leverkusen,"22,012",Stadion An der Alten FÃ¶rsterei,Harm Osmers,Match Report,
22,Sat,2/15/2020,15:30 (17:30),Augsburg,0.9,1 1,1.2,Freiburg,"26,822",WWK Arena,Patrick Ittrich,Match Report,
22,Sat,2/15/2020,15:30 (17:30),RB Leipzig,1.4,3 0,0.3,Werder Bremen,"41,308",Red Bull Arena,Benjamin Cortus,Match Report,
22,Sat,2/15/2020,15:30 (17:30),Paderborn 07,0.9,1 2,2,Hertha BSC,"14,687",Benteler-Arena,Bibiana Steinhaus,Match Report,
22,Sat,2/15/2020,15:30 (17:30),Hoffenheim,2.4,2 3,2.8,Wolfsburg,"22,506",PreZero Arena,SÃ¶ren Storks,Match Report,
22,Sat,2/15/2020,18:30 (20:30),DÃ¼sseldorf,1.1,1 4,2.6,M'gladbach,"51,000",Merkur Spielarena,Daniel Siebert,Match Report,
22,Sun,2/16/2020,15:30 (17:30),KÃ¶ln,2.5,1 4,2.5,Bayern Munich,"50,000",RheinEnergieSTADION,Felix Zwayer,Match Report,
22,Sun,2/16/2020,18:00 (20:00),Mainz 05,1.5,0 0,0.9,Schalke 04,"27,482",Opel Arena,Guido Winkmann,Match Report,

23,Fri,2/21/2020,20:30 (22:30),Bayern Munich,3,3 2,1.4,Paderborn 07,"75,000",Allianz Arena,Markus Schmidt,Match Report,
23,Sat,2/22/2020,15:30 (17:30),M'gladbach,2.6,1 1,1.8,Hoffenheim,"50,250",Stadion im Borussia-Park,Felix Brych,Match Report,
23,Sat,2/22/2020,15:30 (17:30),Hertha BSC,0.5,0 5,2.6,KÃ¶ln,"46,207",Olympiastadion Berlin,Daniel Schlager,Match Report,
23,Sat,2/22/2020,15:30 (17:30),Werder Bremen,0.3,0 2,1,Dortmund,"42,100",Weserstadion,Marco Fritz,Match Report,
23,Sat,2/22/2020,15:30 (17:30),Freiburg,1,0 2,0.9,DÃ¼sseldorf,"24,000",Schwarzwald-Stadion,Frank Willenborg,Match Report,
23,Sat,2/22/2020,18:30 (20:30),Schalke 04,0.2,0 5,2.4,RB Leipzig,"61,433",Veltins-Arena,Sascha Stegemann,Match Report,
23,Sun,2/23/2020,15:30 (17:30),Leverkusen,0.9,2 0,0.6,Augsburg,"23,703",BayArena,Sven Jablonski,Match Report,
23,Sun,2/23/2020,18:00 (20:00),Wolfsburg,2.7,4 0,1.1,Mainz 05,"21,058",Volkswagen Arena,Benjamin Cortus,Match Report,
23,Mon,2/24/2020,20:30 (22:30),Eint Frankfurt,2,1 2,1.6,Union Berlin,"47,000",Commerzbank-Arena,Deniz Aytekin,Match Report,

24,Fri,2/28/2020,20:30 (22:30),DÃ¼sseldorf,1.3,3 3,2.8,Hertha BSC,"31,632",Merkur Spielarena,Tobias Stieler,Match Report,
24,Sat,2/29/2020,15:30 (17:30),Dortmund,1.8,1 0,1.3,Freiburg,"81,365",Signal Iduna Park,Robert Hartmann,Match Report,
24,Sat,2/29/2020,15:30 (17:30),Mainz 05,0.9,2 0,0.6,Paderborn 07,"24,231",Opel Arena,Harm Osmers,Match Report,
24,Sat,2/29/2020,15:30 (17:30),Hoffenheim,0.4,0 6,3.4,Bayern Munich,"30,150",PreZero Arena,Christian Dingert,Match Report,
24,Sat,2/29/2020,15:30 (17:30),Augsburg,1.1,2 3,2.6,M'gladbach,"29,303",WWK Arena,Markus Schmidt,Match Report,
24,Sat,2/29/2020,18:30 (20:30),KÃ¶ln,0.9,3 0,0.8,Schalke 04,"50,000",RheinEnergieSTADION,Manuel GrÃ¤fe,Match Report,
24,Sun,3/1/2020,13:30 (15:30),Union Berlin,0.5,2 2,1.1,Wolfsburg,"22,012",Stadion An der Alten FÃ¶rsterei,Bastian Dankert,Match Report,
24,Sun,3/1/2020,15:30 (17:30),RB Leipzig,0.6,1 1,1.4,Leverkusen,"41,216",Red Bull Arena,Felix Zwayer,Match Report,

25,Fri,3/6/2020,20:00 (22:00),Paderborn 07,0.7,1 2,2.4,KÃ¶ln,"15,000",Benteler-Arena,Daniel Siebert,Match Report,
25,Sat,3/7/2020,15:30 (17:30),Hertha BSC,1,2 2,1,Werder Bremen,"58,028",Olympiastadion Berlin,Guido Winkmann,Match Report,
25,Sat,3/7/2020,15:30 (17:30),Leverkusen,2.5,4 0,0.9,Eint Frankfurt,"30,210",BayArena,Felix Brych,Match Report,
25,Sat,3/7/2020,15:30 (17:30),Schalke 04,0.8,1 1,0.7,Hoffenheim,"58,324",Veltins-Arena,Sven Jablonski,Match Report,
25,Sat,3/7/2020,15:30 (17:30),Freiburg,0.8,3 1,0.7,Union Berlin,"24,000",Schwarzwald-Stadion,Marco Fritz,Match Report,
25,Sat,3/7/2020,15:30 (17:30),Wolfsburg,0.8,0 0,1.2,RB Leipzig,"27,195",Volkswagen Arena,Daniel Schlager,Match Report,
25,Sat,3/7/2020,18:30 (20:30),M'gladbach,1.9,1 2,0.8,Dortmund,"53,877",Stadion im Borussia-Park,Sascha Stegemann,Match Report,
25,Sun,3/8/2020,15:30 (17:30),Bayern Munich,2.8,2 0,0.8,Augsburg,"75,000",Allianz Arena,Bibiana Steinhaus,Match Report,
25,Sun,3/8/2020,18:00 (20:00),Mainz 05,0.8,1 1,2,DÃ¼sseldorf,"21,409",Opel Arena,Harm Osmers,Match Report,

21,Wed,3/11/2020,18:30 (20:30),M'gladbach,0.9,2 1,0.9,KÃ¶ln,,Stadion im Borussia-Park,Deniz Aytekin,Match Report,

26,Sat,5/16/2020,15:30 (16:30),Dortmund,1.7,4 0,0.6,Schalke 04,,Signal Iduna Park,Deniz Aytekin,Match Report,
26,Sat,5/16/2020,15:30 (16:30),Augsburg,1.2,1 2,1.5,Wolfsburg,,WWK Arena,Felix Brych,Match Report,
26,Sat,5/16/2020,15:30 (16:30),Hoffenheim,2.6,0 3,1.5,Hertha BSC,,PreZero Arena,Christian Dingert,Match Report,
26,Sat,5/16/2020,15:30 (16:30),DÃ¼sseldorf,0.8,0 0,0.7,Paderborn 07,,Merkur Spielarena,Frank Willenborg,Match Report,
26,Sat,5/16/2020,15:30 (16:30),RB Leipzig,2.1,1 1,0.3,Freiburg,,Red Bull Arena,Manuel GrÃ¤fe,Match Report,
26,Sat,5/16/2020,18:30 (19:30),Eint Frankfurt,1.1,1 3,3.3,M'gladbach,,Commerzbank-Arena,Felix Zwayer,Match Report,
26,Sun,5/17/2020,15:30 (16:30),KÃ¶ln,2.4,2 2,2.1,Mainz 05,,RheinEnergieSTADION,Guido Winkmann,Match Report,
26,Sun,5/17/2020,18:00 (19:00),Union Berlin,0.5,0 2,1.5,Bayern Munich,,Stadion An der Alten FÃ¶rsterei,Bastian Dankert,Match Report,
26,Mon,5/18/2020,20:30 (21:30),Werder Bremen,1.2,1 4,1.7,Leverkusen,,Weserstadion,Tobias Stieler,Match Report,

27,Fri,5/22/2020,20:30 (21:30),Hertha BSC,,,,Union Berlin,,Olympiastadion Berlin,,,
27,Sat,5/23/2020,15:30 (16:30),Wolfsburg,,,,Dortmund,,Volkswagen Arena,,,
27,Sat,5/23/2020,15:30 (16:30),M'gladbach,,,,Leverkusen,,Stadion im Borussia-Park,,,
27,Sat,5/23/2020,15:30 (16:30),Freiburg,,,,Werder Bremen,,Schwarzwald-Stadion,,,
27,Sat,5/23/2020,15:30 (16:30),Paderborn 07,,,,Hoffenheim,,Benteler-Arena,,,
27,Sat,5/23/2020,18:30 (19:30),Bayern Munich,,,,Eint Frankfurt,,Allianz Arena,,,
27,Sun,5/24/2020,13:30 (14:30),Schalke 04,,,,Augsburg,,Veltins-Arena,,,
27,Sun,5/24/2020,15:30 (16:30),Mainz 05,,,,RB Leipzig,,Opel Arena,,,
27,Sun,5/24/2020,18:00 (19:00),KÃ¶ln,,,,DÃ¼sseldorf,,RheinEnergieSTADION,,,

28,Tue,5/26/2020,18:30 (19:30),Dortmund,,,,Bayern Munich,,Signal Iduna Park,,,
28,Tue,5/26/2020,20:30 (21:30),Eint Frankfurt,,,,Freiburg,,Commerzbank-Arena,,,
28,Tue,5/26/2020,20:30 (21:30),Leverkusen,,,,Wolfsburg,,BayArena,,,
28,Tue,5/26/2020,20:30 (21:30),Werder Bremen,,,,M'gladbach,,Weserstadion,,,
28,Wed,5/27/2020,18:30 (19:30),RB Leipzig,,,,Hertha BSC,,Red Bull Arena,,,
28,Wed,5/27/2020,20:30 (21:30),Union Berlin,,,,Mainz 05,,Stadion An der Alten FÃ¶rsterei,,,
28,Wed,5/27/2020,20:30 (21:30),Hoffenheim,,,,KÃ¶ln,,PreZero Arena,,,
28,Wed,5/27/2020,20:30 (21:30),Augsburg,,,,Paderborn 07,,WWK Arena,,,
28,Wed,5/27/2020,20:30 (21:30),DÃ¼sseldorf,,,,Schalke 04,,Merkur Spielarena,,,

29,Fri,5/29/2020,20:30 (21:30),Freiburg,,,,Leverkusen,,Schwarzwald-Stadion,,,
29,Sat,5/30/2020,15:30 (16:30),Wolfsburg,,,,Eint Frankfurt,,Volkswagen Arena,,,
29,Sat,5/30/2020,15:30 (16:30),Hertha BSC,,,,Augsburg,,Olympiastadion Berlin,,,
29,Sat,5/30/2020,15:30 (16:30),Schalke 04,,,,Werder Bremen,,Veltins-Arena,,,
29,Sat,5/30/2020,15:30 (16:30),Mainz 05,,,,Hoffenheim,,Opel Arena,,,
29,Sat,5/30/2020,18:30 (19:30),Bayern Munich,,,,DÃ¼sseldorf,,Allianz Arena,,,
29,Sun,5/31/2020,15:30 (16:30),M'gladbach,,,,Union Berlin,,Stadion im Borussia-Park,,,
29,Sun,5/31/2020,18:00 (19:00),Paderborn 07,,,,Dortmund,,Benteler-Arena,,,
29,Mon,6/1/2020,20:30 (21:30),KÃ¶ln,,,,RB Leipzig,,RheinEnergieSTADION,,,

24,Tue,6/2/2020,20:30 (21:30),Werder Bremen,,,,Eint Frankfurt,,Weserstadion,,,

30,Mon,6/8/2020,,RB Leipzig,,,,Paderborn 07,,Red Bull Arena,,,
30,Mon,6/8/2020,,Leverkusen,,,,Bayern Munich,,BayArena,,,
30,Mon,6/8/2020,,DÃ¼sseldorf,,,,Hoffenheim,,Merkur Spielarena,,,
30,Mon,6/8/2020,,Union Berlin,,,,Schalke 04,,Stadion An der Alten FÃ¶rsterei,,,
30,Mon,6/8/2020,,Dortmund,,,,Hertha BSC,,Signal Iduna Park,,,
30,Mon,6/8/2020,,Freiburg,,,,M'gladbach,,Schwarzwald-Stadion,,,
30,Mon,6/8/2020,,Augsburg,,,,KÃ¶ln,,WWK Arena,,,
30,Mon,6/8/2020,,Werder Bremen,,,,Wolfsburg,,Weserstadion,,,
30,Mon,6/8/2020,,Eint Frankfurt,,,,Mainz 05,,Commerzbank-Arena,,,

31,Sun,6/14/2020,,Schalke 04,,,,Leverkusen,,Veltins-Arena,,,
31,Sun,6/14/2020,,Paderborn 07,,,,Werder Bremen,,Benteler-Arena,,,
31,Sun,6/14/2020,,KÃ¶ln,,,,Union Berlin,,RheinEnergieSTADION,,,
31,Sun,6/14/2020,,Mainz 05,,,,Augsburg,,Opel Arena,,,
31,Sun,6/14/2020,,Wolfsburg,,,,Freiburg,,Volkswagen Arena,,,
31,Sun,6/14/2020,,Hertha BSC,,,,Eint Frankfurt,,Olympiastadion Berlin,,,
31,Sun,6/14/2020,,Hoffenheim,,,,RB Leipzig,,PreZero Arena,,,
31,Sun,6/14/2020,,DÃ¼sseldorf,,,,Dortmund,,Merkur Spielarena,,,
31,Sun,6/14/2020,,Bayern Munich,,,,M'gladbach,,Allianz Arena,,,

32,Wed,6/17/2020,,Eint Frankfurt,,,,Schalke 04,,Commerzbank-Arena,,,
32,Wed,6/17/2020,,Union Berlin,,,,Paderborn 07,,Stadion An der Alten FÃ¶rsterei,,,
32,Wed,6/17/2020,,Freiburg,,,,Hertha BSC,,Schwarzwald-Stadion,,,
32,Wed,6/17/2020,,M'gladbach,,,,Wolfsburg,,Stadion im Borussia-Park,,,
32,Wed,6/17/2020,,Augsburg,,,,Hoffenheim,,WWK Arena,,,
32,Wed,6/17/2020,,RB Leipzig,,,,DÃ¼sseldorf,,Red Bull Arena,,,
32,Wed,6/17/2020,,Leverkusen,,,,KÃ¶ln,,BayArena,,,
32,Wed,6/17/2020,,Dortmund,,,,Mainz 05,,Signal Iduna Park,,,
32,Wed,6/17/2020,,Werder Bremen,,,,Bayern Munich,,Weserstadion,,,

33,Sat,6/20/2020,15:30 (16:30),RB Leipzig,,,,Dortmund,,Red Bull Arena,,,
33,Sat,6/20/2020,15:30 (16:30),Hoffenheim,,,,Union Berlin,,PreZero Arena,,,
33,Sat,6/20/2020,15:30 (16:30),Hertha BSC,,,,Leverkusen,,Olympiastadion Berlin,,,
33,Sat,6/20/2020,15:30 (16:30),Schalke 04,,,,Wolfsburg,,Veltins-Arena,,,
33,Sat,6/20/2020,15:30 (16:30),Paderborn 07,,,,M'gladbach,,Benteler-Arena,,,
33,Sat,6/20/2020,15:30 (16:30),Mainz 05,,,,Werder Bremen,,Opel Arena,,,
33,Sat,6/20/2020,15:30 (16:30),DÃ¼sseldorf,,,,Augsburg,,Merkur Spielarena,,,
33,Sat,6/20/2020,15:30 (16:30),Bayern Munich,,,,Freiburg,,Allianz Arena,,,
33,Sat,6/20/2020,15:30 (16:30),KÃ¶ln,,,,Eint Frankfurt,,RheinEnergieSTADION,,,

34,Sat,6/27/2020,15:30 (16:30),Leverkusen,,,,Mainz 05,,BayArena,,,
34,Sat,6/27/2020,15:30 (16:30),M'gladbach,,,,Hertha BSC,,Stadion im Borussia-Park,,,
34,Sat,6/27/2020,15:30 (16:30),Eint Frankfurt,,,,Paderborn 07,,Commerzbank-Arena,,,
34,Sat,6/27/2020,15:30 (16:30),Augsburg,,,,RB Leipzig,,WWK Arena,,,
34,Sat,6/27/2020,15:30 (16:30),Freiburg,,,,Schalke 04,,Schwarzwald-Stadion,,,
34,Sat,6/27/2020,15:30 (16:30),Dortmund,,,,Hoffenheim,,Signal Iduna Park,,,
34,Sat,6/27/2020,15:30 (16:30),Union Berlin,,,,DÃ¼sseldorf,,Stadion An der Alten FÃ¶rsterei,,,
34,Sat,6/27/2020,15:30 (16:30),Werder Bremen,,,,KÃ¶ln,,Weserstadion,,,
34,Sat,6/27/2020,15:30 (16:30),Wolfsburg,,,,Bayern Munich,,Volkswagen Arena,,,
